original_song_id	name	spotify_url	apple_music_url	youtube_music_url	line_music_url
02010001	赤より紅い夢	https://open.spotify.com/track/0FI4IWcLsV1i4C2fqGf4fp	https://music.apple.com/jp/album/%E8%B5%A4%E3%82%88%E3%82%8A%E7%B4%85%E3%81%84%E5%A4%A2/1581515718?i=1581515719	https://music.youtube.com/watch?v=aDKUCk99TNg&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea7b
02010002	ほおずきみたいに紅い魂	https://open.spotify.com/track/3XekIrDD6GtLcnyGeaa3lZ	https://music.apple.com/jp/album/%E3%81%BB%E3%81%8A%E3%81%9A%E3%81%8D%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AB%E7%B4%85%E3%81%84%E9%AD%82/1581515718?i=1581515720	https://music.youtube.com/watch?v=Kri4pZwkcGw&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea7c
02010003	妖魔夜行	https://open.spotify.com/track/5l27uTmSawz0MycRttS5k3	https://music.apple.com/jp/album/%E5%A6%96%E9%AD%94%E5%A4%9C%E8%A1%8C/1581515718?i=1581515721	https://music.youtube.com/watch?v=16NSExzzIWA&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea7d
02010004	ルーネイトエルフ	https://open.spotify.com/track/4v5cKI7g6DGLYkBVVLbziL	https://music.apple.com/jp/album/%E3%83%AB%E3%83%BC%E3%83%8D%E3%82%A4%E3%83%88%E3%82%A8%E3%83%AB%E3%83%95/1581515718?i=1581515722	https://music.youtube.com/watch?v=_iRxw7-CiUA&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea7e
02010005	おてんば恋娘	https://open.spotify.com/track/5QhPWGxjyZvVHoiIpmIJaK	https://music.apple.com/jp/album/%E3%81%8A%E3%81%A6%E3%82%93%E3%81%B0%E6%81%8B%E5%A8%98/1581515718?i=1581515723	https://music.youtube.com/watch?v=hVNbUWAEvsI&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea7f
02010006	上海紅茶館　～ Chinese Tea	https://open.spotify.com/track/7xtmnrhNW6KCUM5E7SVWTa	https://music.apple.com/jp/album/%E4%B8%8A%E6%B5%B7%E7%B4%85%E8%8C%B6%E9%A4%A8-chinese-tea/1581515718?i=1581515724	https://music.youtube.com/watch?v=YIy2S8MB8c8&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea80
02010007	明治十七年の上海アリス	https://open.spotify.com/track/14RAkBPAjPL9A25AgfrKGl	https://music.apple.com/jp/album/%E6%98%8E%E6%B2%BB%E5%8D%81%E4%B8%83%E5%B9%B4%E3%81%AE%E4%B8%8A%E6%B5%B7%E3%82%A2%E3%83%AA%E3%82%B9/1581515718?i=1581515725	https://music.youtube.com/watch?v=IHRS-KIEAG4&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea81
02010008	ヴワル魔法図書館	https://open.spotify.com/track/17d0TIjAO7jPqd6nKAkGmg	https://music.apple.com/jp/album/%E3%83%B4%E3%83%AF%E3%83%AB%E9%AD%94%E6%B3%95%E5%9B%B3%E6%9B%B8%E9%A4%A8/1581515718?i=1581515726	https://music.youtube.com/watch?v=ovlbvYRzskY&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea82
02010009	ラクトガール　～ 少女密室	https://open.spotify.com/track/1k7OTUzrtpid6rtJ7C08Ll	https://music.apple.com/jp/album/%E3%83%A9%E3%82%AF%E3%83%88%E3%82%AC%E3%83%BC%E3%83%AB-%E5%B0%91%E5%A5%B3%E5%AF%86%E5%AE%A4/1581515718?i=1581515727	https://music.youtube.com/watch?v=WrfhILCgCmk&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea83
02010010	メイドと血の懐中時計	https://open.spotify.com/track/5ggCJGIw4K7mpzhB8ODmQL	https://music.apple.com/jp/album/%E3%83%A1%E3%82%A4%E3%83%89%E3%81%A8%E8%A1%80%E3%81%AE%E6%87%90%E4%B8%AD%E6%99%82%E8%A8%88/1581515718?i=1581515728	https://music.youtube.com/watch?v=1YRrPl7elLE&list=OLAK5uy_nZVx8L3L4gkAccH7JMFgjYUMs3q9ONHf4	https://music.line.me/webapp/track/mt000000001480ea84
